time_from_recovery_onset_s,stress_Pa,strain_frac
2.061000000000000000e+03,3.360000000000000000e+06,4.080144179556974976e-02
2.062000000000000000e+03,3.360000000000000000e+06,4.080033580476465083e-02
2.063000000000000000e+03,3.360000000000000000e+06,4.079923035019755034e-02
2.064000000000000000e+03,3.360000000000000000e+06,4.079812543134869046e-02
2.065000000000000000e+03,3.360000000000000000e+06,4.079702104769910437e-02
2.066000000000000000e+03,3.360000000000000000e+06,4.079591719873055383e-02
2.067000000000000000e+03,3.360000000000000000e+06,4.079481388392556390e-02
2.068000000000000000e+03,3.360000000000000000e+06,4.079371110276743678e-02
2.069000000000000000e+03,3.360000000000000000e+06,4.079260885474016163e-02
2.070000000000000000e+03,3.360000000000000000e+06,4.079150713932853251e-02
2.071000000000000000e+03,3.360000000000000000e+06,4.079040595601807206e-02
2.072000000000000000e+03,3.360000000000000000e+06,4.078930530429502460e-02
2.073000000000000000e+03,3.360000000000000000e+06,4.078820518364642544e-02
2.074000000000000000e+03,3.360000000000000000e+06,4.078710559356000381e-02
